_id,place_area,place_idx,place_img,place_info,place_like,place_middle,place_small,place_view
62aaa415c46aac9e5313cd24,경상북도,7228,,국립 운문산자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313cd25,경상남도,7229,,오도산자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313cd26,경상남도,7230,,지리산 중산리자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313cd27,전라남도,7231,,한천자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313cd28,경기도,7232,,고대산,,자연관광지,산,
62aaa415c46aac9e5313cd29,경상북도,7233,,"대탄,오보 해수욕장",,자연관광지,해수욕장,
62aaa415c46aac9e5313cd2a,경상북도,7234,,하저리해수욕장,,자연관광지,해수욕장,
62aaa415c46aac9e5313cd2b,경상북도,7235,,남호해수욕장,,자연관광지,해수욕장,
62aaa415c46aac9e5313cd2c,강원도,7236,,상정바위산,,자연관광지,산,
62aaa415c46aac9e5313cd2d,경상북도,7237,,각화산,,자연관광지,산,
62aaa415c46aac9e5313cd2e,경상북도,7238,,문수산,,자연관광지,산,
62aaa415c46aac9e5313cd2f,경상북도,7239,,다덕약수탕,,자연관광지,약수터,
62aaa415c46aac9e5313cd30,경상북도,7240,,구마계곡(고선계곡),,자연관광지,계곡,
62aaa415c46aac9e5313cd31,전라남도,7241,,용암산,,자연관광지,산,
62aaa415c46aac9e5313cd32,전라남도,7242,,무등산,,자연관광지,산,
62aaa415c46aac9e5313cd33,강원도,7243,,막동계곡,,자연관광지,계곡,
62aaa415c46aac9e5313cd34,강원도,7244,,장전계곡,,자연관광지,계곡,
62aaa415c46aac9e5313cd35,강원도,7245,,수하계곡(평창),,자연관광지,계곡,
62aaa415c46aac9e5313cd36,경상북도,7246,,소광리계곡,,자연관광지,계곡,
62aaa415c46aac9e5313cd37,경상남도,7247,,월성계곡,,자연관광지,계곡,
62aaa415c46aac9e5313cd38,충청남도,7248,,원산도,,자연관광지,섬,
62aaa415c46aac9e5313cd39,강원도,7249,,법수치계곡,,자연관광지,계곡,
62aaa415c46aac9e5313cd3a,경기도,7250,,국화도,,자연관광지,섬,
62aaa415c46aac9e5313cd3b,경상북도,7251,,운제산,,자연관광지,산,
62aaa415c46aac9e5313cd3c,경상남도,7252,,한우산,,자연관광지,산,
62aaa415c46aac9e5313cd3d,경상남도,7253,,금호지,,자연관광지,호수,
62aaa415c46aac9e5313cd3e,경상남도,7254,,수우도,,자연관광지,섬,
62aaa415c46aac9e5313cd3f,경상남도,7255,,죽도(통영),,자연관광지,섬,
62aaa415c46aac9e5313cd40,경상남도,7256,,추봉도,,자연관광지,섬,
62aaa415c46aac9e5313cd41,경상남도,7257,,비진도,,자연관광지,섬,
62aaa415c46aac9e5313cd42,경상남도,7258,,한산도,,자연관광지,섬,
