,사고날짜,주/야 구분,사망자 수,부상자 수,시군구 코드,사고유형 코드
302,2019020316,주간,1,5,1305,21
303,2019020320,야간,1,1,1521,01
304,2019020413,주간,1,1,2501,05
305,2019020416,주간,1,1,2501,25
306,2019020421,야간,2,4,1715,21
307,2019020423,야간,1,1,1802,05
308,2019020522,야간,1,1,1402,01
309,2019020603,야간,1,1,1210,38
310,2019020603,야간,1,1,1602,22
311,2019020607,주간,1,1,1906,32
312,2019020607,주간,1,1,1922,05
313,2019020610,주간,1,2,2028,32
314,2019020615,주간,1,1,2101,25
315,2019020615,주간,1,1,1318,01
316,2019020619,야간,1,1,1714,03
317,2019020623,야간,1,1,1118,01
318,2019020700,야간,1,1,1307,25
319,2019020703,야간,1,1,1112,01
320,2019020704,야간,1,1,1334,01
321,2019020707,주간,1,1,1906,23
322,2019020709,주간,1,2,2027,22
323,2019020717,주간,1,1,1501,05
324,2019020718,야간,1,1,1623,34
325,2019020718,야간,1,1,1827,03
326,2019020720,야간,1,1,1311,32
327,2019020803,야간,1,1,2604,32
328,2019020803,야간,1,1,1313,02
329,2019020806,주간,1,1,1110,01
330,2019020810,주간,1,1,1828,22
331,2019020813,주간,1,1,1513,23
332,2019020814,주간,1,1,1906,05
333,2019020815,주간,1,1,2303,22
334,2019020902,야간,1,1,1902,34
335,2019020913,주간,1,1,2008,25
336,2019020913,주간,1,3,1308,32
337,2019020922,야간,1,4,2305,21
338,2019021014,주간,1,3,2502,04
339,2019021105,야간,1,3,2504,01
340,2019021109,주간,2,5,1814,37
341,2019021116,주간,1,3,1922,22
342,2019021119,야간,1,1,1101,02
343,2019021120,야간,1,1,1611,03
344,2019021200,야간,1,1,1116,25
345,2019021205,야간,1,3,1325,22
346,2019021211,주간,1,1,2101,05
347,2019021218,야간,1,1,1116,22
348,2019021220,야간,1,1,1814,01
349,2019021223,야간,1,1,1315,32
350,2019021300,야간,1,1,2206,32
351,2019021301,야간,1,1,1307,32
352,2019021304,야간,1,1,1116,02
353,2019021306,주간,1,1,1602,25
354,2019021308,주간,2,3,1318,22
355,2019021309,주간,2,3,1623,22
356,2019021311,주간,1,1,1415,37
357,2019021314,주간,1,1,2030,05
358,2019021314,주간,1,1,2022,38
359,2019021316,주간,1,1,1513,38
360,2019021318,야간,1,1,1819,38
361,2019021319,야간,1,2,1935,22
362,2019021321,야간,1,1,2401,02
363,2019021321,야간,1,1,1902,01
364,2019021322,야간,1,1,1503,01
365,2019021400,야간,1,1,1335,05
366,2019021401,야간,1,1,1922,22
367,2019021410,주간,1,1,1327,25
368,2019021418,야간,1,1,1324,01
369,2019021419,야간,1,1,1323,05
370,2019021420,야간,1,1,1205,05
371,2019021420,야간,1,1,1308,32
372,2019021422,야간,1,1,1303,05
373,2019021502,야간,1,1,2203,01
374,2019021506,주간,1,1,1904,02
375,2019021507,주간,1,5,1315,38
376,2019021510,주간,1,2,1311,05
377,2019021511,주간,1,1,1423,22
378,2019021512,주간,1,1,2203,05
379,2019021512,주간,1,1,1514,22
380,2019021513,주간,1,3,1423,32
381,2019021514,주간,1,1,1310,01
382,2019021515,주간,1,1,1701,05
383,2019021520,야간,1,1,1702,01
384,2019021521,야간,1,1,1106,01
385,2019021600,야간,1,1,1303,01
386,2019021602,야간,1,1,2003,25
387,2019021607,주간,1,1,1802,05
388,2019021611,주간,1,1,2101,05
389,2019021613,주간,1,1,2030,01
390,2019021615,주간,1,5,1935,21
391,2019021618,야간,1,1,1503,32
392,2019021619,야간,1,1,2023,01
393,2019021619,야간,1,1,1723,37
394,2019021700,야간,1,1,2205,01
395,2019021701,야간,1,3,1209,25
396,2019021719,야간,1,1,1311,32
397,2019021720,야간,1,3,1924,21
398,2019021723,야간,1,1,1305,05
399,2019021801,야간,1,1,1903,32
400,2019021805,야간,1,1,2016,25
401,2019021805,야간,1,1,1302,01
402,2019021807,주간,1,2,1306,21
403,2019021809,주간,1,1,1413,05
404,2019021810,주간,1,2,1611,22
405,2019021817,주간,1,1,2027,34
406,2019021817,주간,1,1,1313,38
407,2019021817,주간,1,1,1714,38
408,2019021902,야간,1,1,1113,37
409,2019021906,주간,1,2,1316,32
410,2019021910,주간,1,2,2023,21
411,2019021911,주간,1,1,1620,32
412,2019022016,주간,1,1,1723,22
413,2019022017,주간,1,2,1612,21
414,2019022018,야간,1,1,1325,01
415,2019022022,야간,1,1,1307,01
416,2019022022,야간,1,1,1335,05
417,2019022109,주간,1,1,1912,01
418,2019022111,주간,1,1,2401,05
419,2019022111,주간,1,1,1615,32
420,2019022116,주간,1,1,1910,22
421,2019022117,주간,1,3,1401,21
422,2019022119,야간,1,3,1321,23
423,2019022119,야간,1,1,1902,22
424,2019022120,야간,1,1,1302,25
425,2019022200,야간,1,1,1303,01
426,2019022201,야간,1,1,2503,01
427,2019022206,주간,1,2,1808,23
428,2019022206,주간,1,1,1617,01
429,2019022207,주간,1,2,2101,25
430,2019022208,주간,1,1,2605,05
431,2019022210,주간,1,1,1910,02
432,2019022221,야간,1,1,1337,21
433,2019022306,주간,1,1,2025,01
434,2019022306,주간,1,2,1711,23
435,2019022308,주간,1,1,1503,01
436,2019022312,주간,1,2,1311,05
437,2019022314,주간,1,5,1401,21
438,2019022318,야간,1,4,2403,22
439,2019022319,야간,1,1,1401,01
440,2019022319,야간,1,1,1706,03
441,2019022320,야간,1,4,1832,05
442,2019022401,야간,1,1,1204,01
443,2019022406,주간,1,1,1112,32
444,2019022420,야간,1,2,2003,23
445,2019022506,주간,1,1,1619,02
446,2019022506,주간,1,1,1802,05
447,2019022506,주간,1,1,1106,22
448,2019022511,주간,1,1,1317,05
449,2019022512,주간,1,3,1334,22
450,2019022512,주간,1,1,1830,34
451,2019022514,주간,1,1,2030,01
452,2019022514,주간,1,1,1804,22
453,2019022514,주간,1,1,1604,32
454,2019022518,야간,1,1,1910,23
455,2019022518,야간,1,1,1423,01
456,2019022519,야간,1,1,1906,01
457,2019022521,야간,1,2,1423,23
458,2019022600,야간,1,2,1204,02
459,2019022601,야간,1,3,2205,22
460,2019022605,야간,1,1,1322,32
461,2019022606,주간,1,1,1903,32
462,2019022617,주간,1,6,1905,25
463,2019022618,야간,1,1,2404,22
464,2019022619,야간,1,1,2307,02
465,2019022622,야간,1,1,1306,22
466,2019022700,야간,1,2,2009,22
467,2019022700,야간,1,1,1311,38
