rank,name,level,win
384,로또그랩전문,168,122
385,1974892374892340,46,119
386,HLE Karis1,468,99
387,전설이 될 남자,821,482
388,LVLVLVLVLVLV,57,189
389,Unknown Surf,350,112
390,Fatty,154,95
391,Hang ln there,361,69
392,Tangyuando,137,200
393,Yagao12,57,190
394,Iove u,73,278
395,대야웰백,429,140
396,gnaixnay,161,126
397,QAQAQAQAQAQ,48,118
398,인생은회전목마아,98,107
399,Kingen,647,108
400,Happie,46,111
401,특수교육 전공,251,70
402,갱플랭크,191,117
403,화려하게 살거야,97,81
404,Grinding 24 7 ,301,325
405,Enosh,343,255
406,베란다고양이,567,175
407,순뀨박,121,201
408,Lovely jiwon XD,124,293
409,푸쿠이,322,135
410,anjingdayouxi,180,129
411,은하수의 별,369,106
412,yueqianlongma,54,178
413,LoveMiyoshiAyaka,46,123
414,오노데라 레이,114,110
415,Mg mid,291,294
416,우이우아아팅탱,145,91
417,펜니르,375,240
418,sbshangdan,422,213
419,laji fuzhu,94,141
420,Gen G VVinner,144,105
421,꿀벌호빗,410,278
422,므라기,226,171
423,ZED99,187,87
424,도전전문유튜버,98,138
425,shenzhenshaoye,199,171
426,Sereno,592,100
427,Seulgi mozzi,514,75
428,Yorick,575,101
429,노갱뒷감당알아서,560,360
430,나도모르는사이에,78,71
431,Top  Joker 6,347,175
432,BRO Soboro,63,208
433,무슨 꿍꿍이,173,188
434,yyzx,393,193
435,T1 Roach,613,149
436,그땐 그저 좋았다,419,102
437,mayuanshiren,56,191
438,Capper,183,331
439,LastBloodShen,370,72
440,하인즈,402,359
441,LSB Courage,261,161
442,L1sure,250,148
443,Carousel,47,91
444,서민의밥상중두,90,150
445,ChoGoT,98,107
446,자신감의보조,170,171
447,변함없는중국인들,699,357
448,Lpc123,63,249
449,매 혹,104,86
450,평범한 숟가락,347,315
451,Phaseless,441,509
452,이탈리야 전문점,472,128
453,간다라쿤다,622,165
454,신장 과부,55,105
455,JINTIANHAORE,44,101
456,FPX q2380023067c,91,360
457,FA Decky,648,89
458,Bellwest,68,176
459,Gon123,363,335
460,Witt Mid,372,220
461,Fantasy Moon,119,231
462,전서방 닭갈비,208,97
463,Qusiba daye,209,101
464,1998zhg,139,62
465,19762345843,104,254
466,좔리다,133,106
467,htrec,67,196
468,Moo1,385,140
469,g1hf,53,175
470,iwilldomybest,136,224
471,dayuluoxia,227,273
472,lanmeihaochi,62,222
473,sksqnf,422,193
